STATE,POP,W,B,N,A,O,H
AL,308745538.00,72.4,12.6,0.9,4.8,6.2,16.3
AK,4779736.00,68.5,26.2,0.6,1.1,2,3.9
AZ,710231.00,66.7,3.3,14.8,5.4,1.6,5.5
AR,6392017.00,73,4.1,4.6,2.8,11.9,29.6
CA,2915918.00,77,15.4,0.8,1.2,3.4,6.4
CO,37253956.00,57.6,6.2,1,13,17,37.6
CT,5029196.00,81.3,4,1.1,2.8,7.2,20.7
DE,3574097.00,77.6,10.1,0.3,3.8,5.6,13.4
DC,897934.00,68.9,21.4,0.5,3.2,3.4,8.2
FL,601723.00,38.5,50.7,0.3,3.5,4.1,9.1
GA,18801310.00,75,16,0.4,2.4,3.6,22.5
HI,9687653.00,59.7,30.5,0.3,3.2,4,8.8
ID,1360301.00,24.7,1.6,0.3,38.6,1.2,8.9
IL,1567582.00,89.1,0.6,1.4,1.2,5.1,11.2
IN,12830632.00,71.5,14.5,0.3,4.6,6.7,15.8
IA,6483802.00,84.3,9.1,0.3,1.6,2.7,6
KS,3046355.00,91.3,2.9,0.4,1.7,1.8,5
KY,2853118.00,83.8,5.9,1,2.4,3.9,10.5
LA,4339367.00,87.8,7.8,0.2,1.1,1.3,3.1
ME,4533372.00,62.6,32,0.7,1.5,1.5,4.2
MD,1328361.00,95.2,1.2,0.6,1,0.3,1.3
MA,5773552.00,58.2,29.4,0.4,5.5,3.6,8.2
MI,6547629.00,80.4,6.6,0.3,5.3,4.7,9.6
MN,9883640.00,78.9,14.2,0.6,2.4,1.5,4.4
MS,5303925.00,85.3,5.2,1.1,4,1.9,4.7
MO,2967297.00,59.1,37,0.5,0.9,1.3,2.7
MT,5988927.00,82.8,11.6,0.5,1.6,1.3,3.5
NE,989415.00,89.4,0.4,6.3,0.6,0.6,2.9
NV,1826341.00,86.1,4.5,1,1.8,4.3,9.2
NH,2700551.00,66.2,8.1,1.2,7.2,12,26.5
NJ,1316470.00,93.9,1.1,0.2,2.2,0.9,2.8
NM,8791894.00,68.6,13.7,0.3,8.3,6.4,17.7
NY,2059179.00,68.4,2.1,9.4,1.4,15,46.3
NC,19378102.00,65.7,15.9,0.6,7.3,7.4,17.6
ND,9535483.00,68.5,21.5,1.3,2.2,4.3,8.4
OH,672591.00,90,1.2,5.4,1,0.5,2
OK,11536504.00,82.7,12.2,0.2,1.7,1.1,3.1
OR,3751351.00,72.2,7.4,8.6,1.7,4.1,8.9
PA,3831074.00,83.6,1.8,1.4,3.7,5.3,11.7
RI,1052567.00,81.4,5.7,0.6,2.9,6,12.4
SC,4625364.00,66.2,27.9,0.4,1.3,2.5,5.1
SD,814180.00,85.9,1.3,8.8,0.9,0.9,2.7
TN,6346105.00,77.6,16.7,0.3,1.4,2.2,4.6
TX,25145561.00,70.4,11.8,0.7,3.8,10.5,37.6
UT,625741.00,95.3,1,0.4,1.3,0.3,1.5
VT,8001024.00,68.6,19.4,0.4,5.5,3.2,7.9
VA,6724540.00,77.3,3.6,1.5,7.2,5.2,11.2
WA,1852994.00,93.9,3.4,0.2,0.7,0.3,1.2
WV,5686986.00,86.2,6.3,1,2.3,2.4,5.9
WI,563626.00,90.7,0.8,2.4,0.8,3,8.9
WY,3725789.00,75.8,12.4,0.5,0.2,7.8,99